algorithm,arraySize,mode,avgMs,minMs,maxMs,runs,comparisons,interchanges
Merge Sort,1000,Sorted,0.118,0.1038,0.1609,10,5044,9976
Merge Sort,5000,Sorted,0.6658,0.6359,0.7123,10,32004,61808
Merge Sort,7500,Sorted,1.1251,1.0105,1.438,10,49432,96808
Merge Sort,10000,Sorted,1.5894,1.4192,2.4446,10,69008,133616
Heap Sort,20,Sorted,0.0047,0.0022,0.0253,10,121,80
Heap Sort,50,Sorted,0.0124,0.0075,0.0533,10,434,270
Heap Sort,100,Sorted,0.0199,0.0176,0.0236,10,1081,640
Heap Sort,500,Sorted,0.1387,0.1308,0.147,10,7756,4354
Heap Sort,1000,Sorted,0.2594,0.1807,0.4597,10,17583,9708
Heap Sort,5000,Sorted,1.1961,1.1367,1.2708,10,112126,60932
Heap Sort,7500,Sorted,1.9551,1.7792,2.4697,10,176499,95690
Heap Sort,10000,Sorted,3.2349,2.6422,4.4622,10,244460,131956
Quick Sort,20,Sorted,0.0086,0.0022,0.0619,10,68,20
Quick Sort,50,Sorted,0.0069,0.0062,0.0082,10,261,47
Quick Sort,100,Sorted,0.013,0.0121,0.0144,10,644,95
Quick Sort,500,Sorted,0.0781,0.0738,0.0827,10,4683,499
Quick Sort,1000,Sorted,0.1776,0.1552,0.2205,10,10981,994
Quick Sort,5000,Sorted,0.8455,0.6373,1.1117,10,69746,5018
Quick Sort,7500,Sorted,1.5541,1.0102,1.7615,10,113209,7499
Quick Sort,10000,Sorted,1.4419,1.2907,1.7978,10,155351,10044
Selection Sort,20,Reversed,0.0016,0.0013,0.0039,10,190,10
Selection Sort,50,Reversed,0.0062,0.006,0.0064,10,1225,25
Selection Sort,100,Reversed,0.0241,0.0229,0.0289,10,4950,50
Selection Sort,500,Reversed,0.5703,0.5669,0.5733,10,124750,250
Selection Sort,1000,Reversed,2.293,2.2642,2.355,10,499500,500
Selection Sort,5000,Reversed,57.1607,55.9703,58.5494,10,12497500,2500
Selection Sort,7500,Reversed,127.9049,124.2438,130.1277,10,28121250,3750
Selection Sort,10000,Reversed,225.9274,221.7151,228.4672,10,49995000,5000
Insertion Sort,20,Reversed,0.0018,0.0017,0.0028,10,190,190
Insertion Sort,50,Reversed,0.0116,0.0113,0.0122,10,1225,1225
Insertion Sort,100,Reversed,0.0459,0.0451,0.0467,10,4950,4950
Insertion Sort,500,Reversed,1.154,1.1233,1.2108,10,124750,124750
Insertion Sort,1000,Reversed,4.704,4.5778,5.5091,10,499500,499500
Insertion Sort,5000,Reversed,117.007,114.065,119.5053,10,12497500,12497500
Insertion Sort,7500,Reversed,259.5429,257.1781,266.7574,10,28121250,28121250
Insertion Sort,10000,Reversed,463.3717,453.7989,467.2304,10,49995000,49995000
Bubble Sort,20,Reversed,0.0202,0.0111,0.0422,10,190,190
Bubble Sort,50,Reversed,0.0273,0.0152,0.0712,10,1225,1225
Bubble Sort,100,Reversed,0.0682,0.0616,0.0856,10,4950,4950
Bubble Sort,500,Reversed,1.6303,1.3158,2.4713,10,124750,124750
Bubble Sort,1000,Reversed,6.2346,5.3272,8.6061,10,499500,499500
Bubble Sort,5000,Reversed,134.7896,130.1415,139.1257,10,12497500,12497500
Bubble Sort,7500,Reversed,304.7931,292.3883,334.4488,10,28121250,28121250
Bubble Sort,10000,Reversed,536.3224,533.1425,539.2059,10,49995000,49995000
Merge Sort,20,Reversed,0.0017,0.0014,0.0043,10,40,88
Merge Sort,50,Reversed,0.0042,0.004,0.0054,10,133,286
Merge Sort,100,Reversed,0.0079,0.007,0.0104,10,316,672
Merge Sort,500,Reversed,0.047,0.0458,0.0498,10,2216,4488
Merge Sort,1000,Reversed,0.104,0.1019,0.106,10,4932,9976
Merge Sort,5000,Reversed,0.6297,0.6166,0.6571,10,29804,61808
Merge Sort,7500,Reversed,1.0001,0.9661,1.1404,10,47376,96808
Merge Sort,10000,Reversed,1.3775,1.3359,1.5867,10,64608,133616
Heap Sort,20,Reversed,0.0023,0.0018,0.0044,10,105,62
Heap Sort,50,Reversed,0.0047,0.0034,0.0085,10,379,207
Heap Sort,100,Reversed,0.0095,0.0089,0.0117,10,944,516
Heap Sort,500,Reversed,0.0741,0.0691,0.0824,10,7010,3676
Heap Sort,1000,Reversed,0.1794,0.1641,0.2283,10,15965,8316
Heap Sort,5000,Reversed,1.2673,1.0693,1.8681,10,103227,53436
Heap Sort,7500,Reversed,1.7869,1.6812,2.0441,10,163711,84404
Heap Sort,10000,Reversed,2.4019,2.2974,2.7216,10,226682,116696
Quick Sort,20,Reversed,0.0031,0.0014,0.0148,10,72,36
Quick Sort,50,Reversed,0.0042,0.0038,0.0045,10,250,118
Quick Sort,100,Reversed,0.0095,0.0088,0.0104,10,663,310
Quick Sort,500,Reversed,0.0613,0.0556,0.0669,10,4872,2213
Quick Sort,1000,Reversed,0.1345,0.1246,0.1486,10,11140,4880
Quick Sort,5000,Reversed,0.774,0.7143,0.8272,10,69552,28541
Quick Sort,7500,Reversed,1.2774,1.1542,1.5294,10,111987,45780
Quick Sort,10000,Reversed,1.7973,1.5927,2.0451,10,156806,61136
Selection Sort,20,test2.txt,0.0305,0.0287,0.0388,10,1225,42
Selection Sort,50,test2.txt,0.0327,0.0285,0.0499,10,1225,42
Selection Sort,100,test2.txt,0.0444,0.0424,0.046,10,1225,42
Selection Sort,500,test2.txt,0.0305,0.0286,0.0392,10,1225,42
Selection Sort,1000,test2.txt,0.0437,0.042,0.0458,10,1225,42
Selection Sort,5000,test2.txt,0.0439,0.0296,0.0639,10,1225,42
Selection Sort,7500,test2.txt,0.0361,0.0086,0.051,10,1225,42
Selection Sort,10000,test2.txt,0.0093,0.0087,0.0105,10,1225,42
Insertion Sort,20,test2.txt,0.0095,0.009,0.01,10,627,580
Insertion Sort,50,test2.txt,0.0097,0.0091,0.0101,10,627,580
Insertion Sort,100,test2.txt,0.012,0.0093,0.014,10,627,580
Insertion Sort,500,test2.txt,0.0109,0.0093,0.0129,10,627,580
Insertion Sort,1000,test2.txt,0.0096,0.0092,0.0104,10,627,580
Insertion Sort,5000,test2.txt,0.0097,0.0092,0.0104,10,627,580
Insertion Sort,7500,test2.txt,0.0096,0.0093,0.0103,10,627,580
Insertion Sort,10000,test2.txt,0.0095,0.0089,0.01,10,627,580
Bubble Sort,20,test2.txt,0.0165,0.0159,0.0176,10,1189,580
Bubble Sort,50,test2.txt,0.0178,0.0162,0.0188,10,1189,580
Bubble Sort,100,test2.txt,0.0165,0.016,0.0174,10,1189,580
Bubble Sort,500,test2.txt,0.0173,0.0163,0.023,10,1189,580
Bubble Sort,1000,test2.txt,0.0178,0.0167,0.0187,10,1189,580
Bubble Sort,5000,test2.txt,0.0185,0.0164,0.0205,10,1189,580
Bubble Sort,7500,test2.txt,0.018,0.016,0.0203,10,1189,580
Bubble Sort,10000,test2.txt,0.0179,0.0168,0.0184,10,1189,580
Merge Sort,20,test2.txt,0.0076,0.0063,0.0113,10,229,286
Merge Sort,50,test2.txt,0.0074,0.0067,0.0096,10,229,286
Merge Sort,100,test2.txt,0.0073,0.0066,0.0112,10,229,286
Merge Sort,500,test2.txt,0.0072,0.007,0.0078,10,229,286
Merge Sort,1000,test2.txt,0.0073,0.0069,0.0076,10,229,286
Merge Sort,5000,test2.txt,0.0073,0.0059,0.0119,10,229,286
Merge Sort,7500,test2.txt,0.0071,0.007,0.0074,10,229,286
Merge Sort,10000,test2.txt,0.0076,0.0071,0.0099,10,229,286
Heap Sort,20,test2.txt,0.0074,0.0064,0.0108,10,423,246
Heap Sort,50,test2.txt,0.0069,0.0066,0.0071,10,423,246
Heap Sort,100,test2.txt,0.007,0.0068,0.0073,10,423,246
Heap Sort,500,test2.txt,0.0069,0.0068,0.0072,10,423,246
Heap Sort,1000,test2.txt,0.007,0.0068,0.0073,10,423,246
Heap Sort,5000,test2.txt,0.0071,0.0069,0.0072,10,423,246
Heap Sort,7500,test2.txt,0.0073,0.0071,0.0075,10,423,246
Heap Sort,10000,test2.txt,0.0071,0.0068,0.0077,10,423,246
Quick Sort,20,test2.txt,0.0386,0.0345,0.0485,10,253,131
Quick Sort,50,test2.txt,0.0372,0.0342,0.0403,10,262,129
Quick Sort,100,test2.txt,0.0402,0.0354,0.046,10,262,130
Quick Sort,500,test2.txt,0.038,0.0345,0.0443,10,271,127
Quick Sort,1000,test2.txt,0.0373,0.0323,0.0437,10,264,137
Quick Sort,5000,test2.txt,0.0363,0.0323,0.0425,10,263,124
Quick Sort,7500,test2.txt,0.0351,0.0328,0.0383,10,247,133
Quick Sort,10000,test2.txt,0.0357,0.0338,0.0373,10,255,137
